DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
11-02-2026,EQ,304,306.85,299.75,303.8,301,300.7,302.7,368.45,194.8,32084582,9711966172,278581
10-02-2026,EQ,291,308.55,289.05,288.85,303.85,303.8,302.21,368.45,194.8,102621684,31013743395,392503
09-02-2026,EQ,286,289.4,283,283.55,288.7,288.85,287.44,368.45,194.8,18816048,5408527495,194992
06-02-2026,EQ,286.9,288.7,281.65,286.85,283.55,283.55,283.81,368.45,194.8,29937539,8496462948,140763
05-02-2026,EQ,291.1,294.85,284.7,294.15,287.05,286.85,288.22,368.45,194.8,30383252,8756974474,182862
04-02-2026,EQ,279.75,294.95,273.05,279.8,293.5,294.15,290.31,368.45,194.8,64894681,18839880797,240556
03-02-2026,EQ,294,299.9,278.1,272.65,278.5,279.8,286.03,368.45,194.8,75311768,21541090417,249857
02-02-2026,EQ,266,276.3,266,269.55,273,272.65,271.67,368.45,194.8,34208468,9293335600,170689
01-02-2026,EQ,274,277.15,258.4,273.6,268.5,269.55,270.3,368.45,194.8,20257153,5475477945,124696
30-01-2026,EQ,272.65,275.85,267.65,275.35,273.5,273.6,273.66,368.45,194.8,43752149,11973087021,166407
29-01-2026,EQ,266.2,277.1,263.05,266.3,274.3,275.35,271.06,368.45,194.8,74338767,20150615157,248491
28-01-2026,EQ,256,267.2,252.8,253.85,266.7,266.3,261.11,368.45,194.8,82531461,21549387349,538701
27-01-2026,EQ,258.05,261.15,250.5,258.7,255,253.85,254.47,368.45,194.8,106172023,27017131954,673445
23-01-2026,EQ,276.95,277,257.7,275.9,260.05,258.7,264.47,368.45,194.8,85765429,22682350971,549401
22-01-2026,EQ,300,305,275.05,283.5,276.5,275.9,286.38,368.45,194.8,154979819,44383601099,613022
21-01-2026,EQ,269.25,287.2,268.8,269.6,282.8,283.5,278.88,368.45,194.8,71728259,20003572656,415629
20-01-2026,EQ,282,282.4,267.85,281.35,271.25,269.6,272.95,368.45,194.8,83681194,22840931432,349175
19-01-2026,EQ,288.5,290,276.65,287.7,279.45,281.35,282,368.45,194.8,83664844,23593181998,342278
16-01-2026,EQ,294.05,296.8,286.8,299.25,288,287.7,291.76,368.45,194.8,62836265,18332928162,288414
14-01-2026,EQ,292.5,299.9,291,294.55,298.8,299.25,296.69,368.45,194.8,48489262,14386196423,174024
13-01-2026,EQ,289.5,297.3,289.15,285.25,294.25,294.55,293.18,368.45,194.8,50350178,14761585444,270751
12-01-2026,EQ,284.35,286.25,276.8,284.35,285.3,285.25,281.77,368.45,194.8,28605326,8060183589,183898
09-01-2026,EQ,283.4,292.9,281.65,283.55,284.7,284.35,287.54,368.45,194.8,55851766,16059874789,202442
08-01-2026,EQ,280.55,287.4,279,280.95,283.15,283.55,283.9,368.45,194.8,38191591,10842752463,168324
07-01-2026,EQ,277,286.3,276.55,279.05,280.5,280.95,281.26,368.45,194.8,38184312,10739885730,242220
06-01-2026,EQ,281.8,283.55,276.25,281.8,279,279.05,279.09,368.45,194.8,29577754,8254996148,242422
05-01-2026,EQ,280.5,284,279.6,284.15,281.9,281.8,281.38,368.45,194.8,19328131,5438539075,127298
02-01-2026,EQ,283.8,287.75,283.25,283.8,284.1,284.15,285.41,368.45,194.8,13624798,3888617089,103983
01-01-2026,EQ,278.6,285,278.55,278.05,283.55,283.8,283.24,368.45,194.8,13427852,3803289749,146429
31-12-2025,EQ,276,280.35,275.5,277.1,278.05,278.05,277.95,368.45,194.8,21964083,6104896865,172236
30-12-2025,EQ,282.5,282.5,275.35,282.85,276.6,277.1,277.44,368.45,194.8,37816382,10491678697,247898
29-12-2025,EQ,281.5,286.05,281.5,281.75,283,282.85,283.9,368.45,194.8,13175259,3740496113,103114
26-12-2025,EQ,281.8,284.65,279.7,284.85,281.85,281.75,282.48,368.45,194.8,15744495,4447469422,144388
24-12-2025,EQ,283.5,286,283.1,284.35,284.6,284.85,284.67,368.45,194.8,12973814,3693215212,103895
23-12-2025,EQ,287.05,288,284,286.7,284.25,284.35,285.47,368.45,194.8,12762620,3643301511,115851
22-12-2025,EQ,286,287.9,285.2,286.05,287.05,286.7,286.44,368.45,194.8,14987454,4292952788,130901
19-12-2025,EQ,286.9,288.35,285.25,284.75,286.25,286.05,286.58,368.45,194.8,17783844,5096437101,125856
18-12-2025,EQ,284.05,285.5,281.7,284.45,285,284.75,284.03,368.45,194.8,14159703,4021816665,142572
17-12-2025,EQ,286.25,290.5,283.55,284.45,283.6,284.45,285.93,368.45,194.8,27154430,7764264866,234854
16-12-2025,EQ,298.2,298.2,282.65,298.45,284.5,284.45,286.93,368.45,194.8,58633745,16823564223,364549
15-12-2025,EQ,295,299.55,295,298.05,298.05,298.45,297.56,368.45,194.8,14755897,4390724414,147259
12-12-2025,EQ,290.1,299,288.6,290.95,297.85,298.05,295.53,368.45,194.8,27289532,8065008524,172423
11-12-2025,EQ,284,291.9,283.05,283.25,290,290.95,289,368.45,194.8,21043741,6081622659,137935
10-12-2025,EQ,289,293,282,291.7,282.7,283.25,286.2,368.45,194.8,20644419,5908423685,149795
09-12-2025,EQ,284.55,292.3,280.3,285.25,291.75,291.7,287.86,368.45,194.8,27053864,7787708432,182312
08-12-2025,EQ,290.9,297.4,284.15,292.4,285.05,285.25,289.05,368.45,194.8,85127961,24605965817,214347
05-12-2025,EQ,295,299.7,291.15,295.75,291.75,292.4,294.72,368.45,194.8,17762375,5234944735,130523
04-12-2025,EQ,297.6,298.75,292.55,297.75,296.55,295.75,295.12,368.45,194.8,31947997,9428583617,183511
03-12-2025,EQ,300.6,302.95,296,300.55,298.5,297.75,298.78,368.45,194.8,18546982,5541462078,125499
02-12-2025,EQ,300.6,301.8,297,301.5,300.6,300.55,299.56,368.45,194.8,23517461,7044954735,152979
01-12-2025,EQ,302.3,305.45,300.25,300.1,302.2,301.5,302.07,368.45,194.8,17929620,5415965053,184663
28-11-2025,EQ,303,304.8,299.65,302.75,300.5,300.1,302.02,368.45,194.8,17678706,5339327309,138131
27-11-2025,EQ,308,308.7,300.55,306.85,302.2,302.75,302.98,368.45,194.8,22604916,6848740452,153474
26-11-2025,EQ,300.3,307.15,300.3,302.3,306.8,306.85,305.54,368.45,194.8,14488702,4426914672,168605
25-11-2025,EQ,303,305.95,300.5,301,302.4,302.3,302.46,368.45,194.8,19304127,5838757801,168430
24-11-2025,EQ,296.5,304.25,295.6,301.95,300.7,301,300.92,368.45,194.8,42517973,12794349031,221877
21-11-2025,EQ,304.95,305.95,301,306.9,302,301.95,303.5,368.45,194.8,13729185,4166869616,126741
20-11-2025,EQ,308.5,308.65,304.6,306.6,307.05,306.9,307.04,368.45,194.8,13522453,4151965094,157411
19-11-2025,EQ,305,308.1,302.6,306.15,306.75,306.6,306.38,368.45,194.8,15532632,4758869545,123197
18-11-2025,EQ,312,313,304.5,309.55,304.5,306.15,308.81,368.45,194.8,24986347,7716123258,162604
17-11-2025,EQ,303.1,309.85,300.55,303.75,309.6,309.55,306.33,368.45,194.8,26632684,8158379512,160650
14-11-2025,EQ,295,305.25,294.75,297.75,304.15,303.75,301.04,368.45,194.8,37378739,11252420059,182042
13-11-2025,EQ,308.65,309.35,296.6,308.8,297.4,297.75,301.17,368.45,194.8,63585986,19150182380,239937
12-11-2025,EQ,308,312.95,307.35,305.8,308.55,308.8,310.19,368.45,194.8,43774443,13578223826,182989
11-11-2025,EQ,302.95,307.75,300.15,301.45,306.2,305.8,304.35,368.45,194.8,35824473,10903153828,197568
10-11-2025,EQ,304.25,308.55,300.8,306.1,301.8,301.45,303.58,368.45,194.8,33919179,10297073127,230802
07-11-2025,EQ,305.95,309.1,301.45,305.65,305.9,306.1,305.99,368.45,194.8,26911856,8234778986,163466
06-11-2025,EQ,308.5,311.65,303.55,313.5,305.3,305.65,307.37,368.45,194.8,44725332,13747011911,280633
04-11-2025,EQ,321.05,321.95,312.3,322.6,313.5,313.5,315.1,368.45,194.8,35402202,11155394391,200629
03-11-2025,EQ,316.45,323.6,313.25,317.75,322.35,322.6,319.53,368.45,194.8,33549131,10720119106,178802
31-10-2025,EQ,329.95,330.3,316.65,329.35,318,317.75,321.55,368.45,194.8,34241754,11010557679,226084
30-10-2025,EQ,328,332.25,325.5,330.45,329.2,329.35,329.03,368.45,194.8,19800315,6514858360,160020
29-10-2025,EQ,333.55,335.5,328.75,334.6,330.65,330.45,330.8,368.45,194.8,19679008,6509785896,118560
28-10-2025,EQ,332.75,336.2,332.15,333.7,335,334.6,334.28,368.45,194.8,28723423,9601594569,168246
27-10-2025,EQ,326.2,334.9,324.6,326.6,333.35,333.7,330.14,368.45,194.8,27703118,9146015229,161680
24-10-2025,EQ,328,329.85,324.35,328.35,326.5,326.6,326.97,368.45,194.8,35567993,11629628500,151336
23-10-2025,EQ,343,343,327,338.1,328,328.35,331.5,368.45,194.8,54284157,17995090209,397731
21-10-2025,EQ,340.1,340.8,337.2,338.15,338,338.1,338.77,368.45,194.8,3818958,1293737119,39876
20-10-2025,EQ,345,346.5,336.25,342.65,338.45,338.15,339.63,368.45,194.8,25481979,8654318073,252814
17-10-2025,EQ,340,347.75,333.75,347.85,342.75,342.65,341.1,368.45,194.8,77995576,26604081066,505457
16-10-2025,EQ,356,368.45,338,354.35,340.5,347.85,352.51,368.45,194.8,91194459,32147206629,393965
15-10-2025,EQ,347.75,355.9,347.35,347.75,355.4,354.35,352.88,355.9,194.8,30840496,10882942149,169737
14-10-2025,EQ,352,352,343,348.35,347,347.75,347.37,352,194.8,25161480,8740349082,228840
13-10-2025,EQ,347.5,351.3,345.4,348.3,348.3,348.35,347.92,351.3,194.8,14458590,5030368582,187871
